year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80,code
2013,99,154,369,691,851,3768,2443,302,174,220,79,DF
2014,199,230,485,926,1195,4560,2913,378,245,263,67,DF
2015,102,151,362,655,895,3617,2470,322,194,244,80,DF
2016,205,292,649,1130,1363,5629,3901,525,335,365,113,DF
2017,107,168,158,190,224,934,742,91,54,48,14,DF
2018,66,61,80,91,117,507,299,40,25,31,9,DF
2019,459,691,1328,2101,2638,10789,7503,1013,612,602,230,DF
2020,444,838,1380,2017,2840,16334,12433,1546,1075,1164,473,DF
2001,24,81,169,346,423,2198,1182,117,78,64,12,ES
2002,121,323,636,1247,1967,7650,4092,412,267,319,56,ES
2003,178,405,1004,1912,3259,13341,6773,742,539,536,134,ES
2004,17,33,87,224,419,1536,886,88,64,79,17,ES
2005,30,45,123,200,276,1115,696,63,53,45,14,ES
2006,74,103,281,590,914,4191,2584,268,160,202,55,ES
2007,52,70,201,418,604,2554,1719,192,159,185,46,ES
2008,285,452,1107,1877,2310,9253,5815,646,459,507,138,ES
2009,555,1057,1923,2819,2932,11844,7367,845,758,747,224,ES
2010,206,452,998,1711,1993,8096,5012,603,349,457,167,ES
2011,439,647,1517,2995,3464,12522,7578,891,631,709,215,ES
2012,166,270,470,937,1095,4045,2118,240,114,108,34,ES
2013,743,1184,2615,5263,7172,25307,15415,1800,1150,1247,380,ES
2014,245,363,651,1258,2068,7517,4380,527,353,342,104,ES
2015,436,612,1279,2508,3561,12527,8149,1176,751,717,246,ES
2016,467,927,1624,2780,4044,14570,9668,1428,911,971,368,ES
2017,80,181,296,442,690,2203,1363,213,134,132,44,ES
2018,117,229,463,765,904,3443,2061,300,194,169,59,ES
2019,579,1246,2740,4559,6067,22153,15978,2759,1903,1534,566,ES
2020,39,119,294,490,657,2560,1922,414,271,251,105,ES
2001,62,178,328,632,978,4545,2186,166,124,69,18,GO
2002,314,615,1099,1621,2520,9470,3857,355,245,185,38,GO
2003,77,150,325,487,921,3819,1542,121,93,65,12,GO
2004,30,111,205,358,631,2659,1211,116,63,65,8,GO
2005,201,379,889,1251,1705,7661,3831,324,252,196,44,GO
