year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80,code
2004,0,1,3,3,6,9,9,7,2,4,4,0,1,0,0,1,0,0,DF
2005,0,0,1,4,5,9,12,14,9,4,8,4,0,1,1,1,0,0,DF
2006,0,0,1,8,12,9,12,9,10,5,10,4,4,3,1,1,0,0,DF
2007,0,0,2,1,13,13,25,21,15,13,10,11,7,2,3,1,1,0,DF
2008,1,8,3,13,11,16,26,24,18,11,18,13,8,3,3,1,0,2,DF
2009,3,3,6,12,11,8,18,21,14,17,6,4,6,3,1,0,0,0,DF
2010,12,30,52,64,57,62,64,46,68,45,50,32,24,35,20,11,8,5,DF
2011,4,9,32,35,20,26,36,41,23,24,24,19,8,10,7,3,2,6,DF
2012,2,9,12,18,11,13,21,15,9,13,8,7,3,4,3,3,3,1,DF
2013,8,17,45,68,42,35,41,32,61,24,22,33,21,18,20,12,7,8,DF
2014,7,16,38,38,31,26,32,30,36,23,20,24,14,18,17,7,8,14,DF
2015,12,21,37,43,19,26,25,22,26,21,21,13,12,10,9,6,12,6,DF
2016,20,46,67,104,22,41,44,39,27,41,23,29,11,15,14,13,12,4,DF
2017,17,21,19,19,9,7,16,8,15,15,11,13,14,13,6,5,2,5,DF
2018,5,6,8,8,3,6,5,5,7,4,4,5,3,2,4,3,1,0,DF
2019,23,52,95,132,55,65,79,61,76,73,51,57,53,61,37,28,27,33,DF
2020,29,65,113,117,38,41,30,41,43,45,34,34,31,31,36,27,9,25,DF
2000,2,1,1,1,7,8,6,7,3,5,5,6,0,1,1,0,2,1,ES
2001,0,1,4,1,7,10,10,4,7,4,6,3,2,3,0,1,0,1,ES
2002,0,3,11,34,45,58,59,45,37,40,19,21,19,14,9,7,6,4,ES
2003,2,13,25,48,83,125,95,84,83,88,66,52,37,24,30,27,12,12,ES
2004,1,3,10,18,33,43,26,27,28,22,26,15,10,4,9,6,2,2,ES
2005,1,2,13,33,33,26,26,30,24,18,20,10,11,8,2,10,3,1,ES
2006,3,5,15,52,70,80,70,62,41,47,39,29,27,14,13,9,7,2,ES
2007,3,12,18,51,122,117,92,79,79,67,54,35,24,21,11,17,8,3,ES
2008,10,33,113,179,193,179,216,158,125,156,128,105,78,56,34,36,26,27,ES
2009,35,109,329,440,304,255,261,237,196,201,214,208,172,123,102,73,79,64,ES
2010,27,44,134,241,184,173,178,144,149,142,123,133,98,64,45,54,32,34,ES
2011,46,73,206,384,410,275,305,240,237,235,251,208,171,131,99,66,53,62,ES
2012,20,47,61,110,122,113,97,96,85,55,53,53,53,34,15,17,15,11,ES
2013,24,49,108,193,216,151,145,128,116,97,102,69,74,47,35,38,27,22,ES
2014,15,31,54,104,102,76,62,65,68,51,50,44,37,33,21,22,13,19,ES
2015,25,59,129,207,218,157,164,155,136,114,114,117,108,96,50,50,29,42,ES
2016,33,75,122,184,173,149,137,113,144,119,133,124,128,82,54,54,47,67,ES
2017,15,24,47,50,70,68,62,68,58,57,41,42,48,37,34,15,12,22,ES
2018,14,43,63,84,54,43,40,51,44,39,39,44,38,36,31,16,18,26,ES
2019,49,74,185,257,209,177,147,155,162,141,152,142,150,137,95,51,51,67,ES
2020,22,36,49,55,62,47,39,52,67,45,59,45,50,53,43,33,23,36,ES
2000,0,2,3,5,5,6,6,3,3,1,1,3,1,2,0,0,0,0,GO
2001,2,5,10,15,13,22,19,20,21,11,12,8,4,3,2,2,0,1,GO
2002,5,39,62,79,100,138,117,89,88,48,56,41,31,24,18,8,7,5,GO
2003,2,6,19,44,48,80,46,49,41,43,34,22,15,6,5,2,2,1,GO
2004,2,17,21,29,36,47,47,49,29,28,20,17,6,4,3,5,1,1,GO
2005,6,28,52,87,154,168,157,135,122,96,86,60,35,22,26,17,11,12,GO
2006,30,59,186,239,337,425,363,333,321,214,196,147,121,102,68,55,36,31,GO
2007,21,52,138,190,277,342,315,276,228,211,177,128,98,70,53,42,29,27,GO
2008,71,156,247,394,480,534,598,460,489,397,337,303,204,184,150,111,63,66,GO
2009,45,89,143,264,300,311,340,300,285,245,242,207,159,135,105,89,57,54,GO
2010,108,267,432,655,825,846,857,892,786,783,688,587,556,440,356,342,231,209,GO
2011,49,115,162,202,271,272,284,289,264,244,227,181,149,125,83,82,43,66,GO
2012,35,68,115,123,161,146,163,164,133,134,147,108,88,75,55,39,32,36,GO
2013,95,201,348,426,602,553,602,574,583,540,514,480,411,326,280,249,188,176,GO
2014,66,155,214,358,540,504,494,484,446,452,441,403,318,313,245,213,147,171,GO
2015,114,185,334,545,862,759,760,765,724,760,685,678,590,515,414,336,286,293,GO
2016,80,127,202,259,331,361,285,331,324,318,302,307,247,201,199,144,94,141,GO
