 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Unidade da Federação e Idade simples
Período:2016
"Unidade da Federação";"Menos que 1 ano de idade";"1  ano";"2  anos";"3  anos";"4  anos";"5  anos";"6  anos";"7  anos";"8  anos";"9  anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"20 anos";"21 anos";"22 anos";"23 anos";"24 anos";"25 anos";"26 anos";"27 anos";"28 anos";"29 anos";"30 anos";"31 anos";"32 anos";"33 anos";"34 anos";"35 anos";"36 anos";"37 anos";"38 anos";"39 anos";"40 anos";"41 anos";"42 anos";"43 anos";"44 anos";"45 anos";"46 anos";"47 anos";"48 anos";"49 anos";"50 anos";"51 anos";"52 anos";"53 anos";"54 anos";"55 anos";"56 anos";"57 anos";"58 anos";"59 anos";"60 anos";"61 anos";"62 anos";"63 anos";"64 anos";"65 anos";"66 anos";"67 anos";"68 anos";"69 anos";"70 anos";"71 anos";"72 anos";"73 anos";"74 anos";"75 anos";"76 anos";"77 anos";"78 anos";"79 anos";"80 anos e mais";"Total"
"41 Paraná";157523;160194;157784;153135;150341;150028;149219;149500;148947;150420;155701;156591;155248;159456;165520;174494;176082;181155;184920;186481;186737;186868;186937;186559;185732;184234;182663;180733;179178;178355;177797;177417;177046;176286;174975;173181;171456;169596;167621;165475;163087;160688;158070;156159;155277;154981;154426;153915;152782;150754;147642;144766;141788;138288;134282;129285;124541;119585;114834;110680;106121;101864;97597;93266;88910;83809;79156;74691;70303;66145;61363;57129;53065;49408;46423;42910;39876;37105;34332;31593;203722;11176203
"42 Santa Catarina";95977;95438;92423;90913;90445;88591;86950;87354;86836;87298;90023;91279;90258;90061;92249;97587;102124;106356;109601;111190;112130;113160;114054;115158;116671;118367;119403;119893;120377;120841;120947;120949;120928;120012;117804;114401;111304;108206;105376;103127;101086;99174;97320;95988;95459;95363;95117;94825;94502;93963;92985;92075;91249;89648;87010;83133;79559;75766;72253;69353;66366;63502;60638;57708;54724;51193;48022;45009;41986;39125;35824;32914;30114;27696;25876;23920;22341;20913;19426;17921;116951;6894058
"43 Rio Grande do Sul";144862;145435;141783;139614;137836;134242;131821;132970;132947;135743;143267;148875;149012;149735;155663;166826;167231;171525;174629;175787;175861;175726;175433;175065;174673;173978;173129;171801;171508;172879;175110;177169;179402;179664;176997;172245;168096;163772;159764;156574;153874;151083;148131;146345;146220;147429;148191;149070;150081;151100;152027;152730;153498;152999;150691;146544;142627;138408;134071;129971;125197;120599;115806;110953;106273;100781;95720;90751;85684;80546;74525;69095;63877;59295;55736;51823;48454;45409;42338;39328;274018;11229947
"50 Mato Grosso do Sul";43521;44384;43565;42799;42669;41755;40883;41258;40144;39412;41122;41799;41791;41328;40798;42025;43696;44546;45186;45462;45536;45678;45834;45881;45777;45517;45222;44765;44481;44462;44574;44643;44684;44503;43982;43152;42356;41505;40639;39787;38878;38017;37151;36382;35807;35246;34703;34133;33600;33121;32527;31994;31482;30753;29741;28392;27140;25836;24625;23560;22454;21407;20390;19353;18316;17116;16030;14972;14014;13182;12280;11497;10757;10071;9496;8787;8177;7631;7070;6487;41758;2685454
"51 Mato Grosso";55648;57824;55826;52986;51208;50852;52667;53487;52624;53175;55660;55915;54069;52937;52582;53691;55785;56616;57218;57419;57483;57628;57775;57980;58268;58602;58809;58859;58914;59020;59020;58868;58648;58219;57517;56505;55625;54759;53749;52551;51059;49631;48129;46811;45864;44985;44138;43322;42368;41305;39959;38755;37561;36267;34913;33264;31755;30236;28713;27273;25652;24170;22702;21298;20020;18598;17344;16156;15053;14075;12936;11969;11060;10221;9515;8624;7940;7332;6693;6105;36220;3356979
"52 Goiás";99683;103136;101440;99221;99739;99481;97040;96790;96584;96635;98868;99631;100658;102437;103034;103066;107901;110401;112095;112603;112740;113040;113068;113607;115036;116909;118078;118863;119400;119562;119200;118688;118157;117384;116417;114994;113582;112316;110525;108026;104843;101763;98655;95968;94110;92501;90869;89261;87408;85144;82235;79570;76926;74235;71539;68421;65493;62578;59701;57023;54021;51362;48805;46282;43944;41198;38760;36410;34138;32039;29611;27480;25503;23720;22274;20553;19130;17846;16493;15064;90836;6723747
"53 Distrito Federal";43024;42765;40694;38206;36589;36438;37209;38620;39966;41811;44051;44518;44638;45352;46170;47633;46987;47569;48044;48377;48619;48660;48468;48655;49415;50374;51113;51834;52622;53470;54212;54972;55876;56291;56000;55137;54276;53411;52214;50607;48691;46665;44527;42734;41547;40700;39771;38899;37907;36682;35264;33895;32583;31213;29759;28232;26724;25250;23886;22688;21581;20493;19463;18435;17378;16270;15182;14165;13163;12167;11155;10190;9285;8519;7963;7466;6971;6563;6095;5503;32096;2892607
"Total";2949347;3005503;2944146;2904492;2911614;2900944;2893470;2935682;2956010;2978806;3057277;3093740;3104986;3135317;3185911;3315119;3376383;3455828;3504171;3504124;3472866;3444255;3411318;3392798;3401641;3424642;3441667;3453851;3464371;3471790;3472505;3472087;3468812;3449467;3408793;3348093;3289647;3228969;3159711;3081544;2992797;2906757;2815919;2743869;2701843;2674546;2645405;2617460;2584586;2542060;2485845;2434243;2383472;2326453;2262687;2184242;2110180;2035108;1958972;1884034;1799484;1719562;1640079;1562688;1490074;1409724;1335056;1264112;1192697;1121159;1038268;963072;891111;828460;780521;728887;683499;643578;601067;554564;3746750;205156587
 Fonte:
 
 2000 a 2021 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

